id,building,room,days,start_time,end_time
773,BRH,203,T,1100AM,1150AM
774,RVR,1008,W,1100AM,1150AM
775,ARC,1015,MW,0300PM,0415PM
776,ALP,147,F,0700AM,0840AM
777,RVR,4003,F,1200PM,0250PM
778,BRH,201,T,0500PM,0750PM
779,RVR,4003,F,0900AM,1150AM
780,ARC,1014,F,0900AM,1150AM
781,LSN,2300,MW,1100AM,1150AM
782,TEB,1234,M,0100PM,0350PM
783,YSM,117,TR,0400PM,0450PM
784,RVR,4003,M,1000AM,1250PM
785,TEB,1118D,W,1000AM,1250PM
786,ALP,147,MW,0730AM,0845AM
787,TEB,1119,T,0100PM,0350PM
788,TEB,1119,R,0100PM,0350PM
789,TEB,1119,T,0400PM,0650PM
790,EUR,113,W,0530PM,0820PM
791,ARC,3004,F,0730AM,1020AM
792,RVR,4003,R,1000AM,1250PM
793,RVR,1004,TR,0100PM,0150PM
794,TEB,1234,R,0100PM,0350PM
795,AMD,250,MW,1200PM,1250PM
796,TAH,1002,T,0730AM,0920AM
797,ALP,144,TR,0800AM,0850AM
798,RVR,4003,T,0530PM,0820PM
799,ARC,1014,R,0530PM,0820PM
800,ARC,1007,W,0700AM,0950AM
801,RVR,1010,MW,0900AM,1015AM
802,RVR,1010,TR,0730AM,0845AM
803,TAH,1007,MW,0100PM,0150PM
804,TEB,1119,M,0200PM,0450PM
805,TEB,1119,W,0200PM,0450PM
806,TEB,1119,W,0500PM,0750PM
807,RVR,2010,TR,0900AM,1015AM
808,RVR,4003,MW,0400PM,0515PM
809,RVR,1004,F,0730AM,1020AM
810,CPS,327,TR,1200PM,0115PM
811,MND,1003,MW,0130PM,0245PM
812,MND,2032,M,0800AM,0850AM
813,MND,2032,W,0800AM,0850AM
814,MND,2032,F,0800AM,0850AM
815,MND,1030,M,0900AM,0950AM
816,MND,2032,W,0900AM,0950AM
817,MND,2032,F,0900AM,0950AM
818,MND,2032,M,1000AM,1050AM
819,MND,2032,W,1000AM,1050AM
820,MND,2032,F,1000AM,1050AM
821,MND,2032,M,1100AM,1150AM
822,MND,2032,W,1100AM,1150AM
823,MND,2032,F,1100AM,1150AM
824,MND,2032,M,1200PM,1250PM
825,MND,2032,W,1200PM,1250PM
826,MND,2032,F,1200PM,1250PM
827,MND,2032,M,0100PM,0150PM
828,MND,2032,F,0100PM,0150PM
829,MND,2032,M,0200PM,0250PM
830,MND,2032,W,0200PM,0250PM
831,MND,2032,F,0200PM,0250PM
832,MND,4000,TR,1030AM,1145AM
833,MND,4000,MW,0300PM,0415PM
834,MND,4000,TR,0730AM,0845AM
835,MND,1026,TR,0130PM,0245PM
836,MND,1024,TR,1200PM,0115PM
837,EUR,103,TR,1200PM,0115PM
838,MND,1030,R,0600PM,0850PM
839,TSC,1005,TR,1030AM,1145AM
840,BRH,101,TR,0900AM,1015AM
